plantCode,avg_annual_generation
10029,976.1
1016,33132.229
10437,57037.6
10438,33693.8
10444,160540.9
10446,61532.1
1355,487964.4
2240,154700.7
2854,7694.8
2953,148334.6
50064,17401.2
50654,93067.5
50765,75584.4
54569,458.76300000000003
54665,31428.6
54666,34487.1
55991,55114.5
56224,671669.366
56228,3173.6
56481,12788.4
56500,263475.0
56540,22431.0
56568,21556.6
56667,130.4
56768,5368.5
56812,804208.4
56813,1043.1
56814,0.0
56815,1169.6
56862,459.9
56875,0.0
56877,1554.5
56883,3058.6
56888,2575.3
56889,671.6
56900,2694.4
56909,5717.6
56915,1788.5
56917,376024.4
56922,1634.6
56929,34087.4
56930,12525.3
56938,915.7
56939,41417.3
56944,18709.7
56966,2995.7
56993,3338.5
57004,1103.2
57005,963.3
57006,926.9
57007,973.0
57008,1913.9
57009,1231.2
57010,1249.7
57011,1055.4
57012,1336.8
57041,3578.4
57081,5504.4
57141,2269.6
57191,12489.2
57197,19440.1
57200,1244.9
57202,15197.7
57203,11030.5
57204,2156.4
57205,95149.6
57216,2582.5
57242,37635.9
57243,55025.3
57254,2497.5
57256,12436.8
57265,998.2
57269,1082.4
57270,988.5
57280,977.3333333333334
57295,149498.6
57305,5319.6
57306,8861.1
57308,599.8
57309,54.7
57311,1547.3333333333333
57313,526.0
57314,2679.3
57317,69591.9
57318,51311.1
57321,1466.4
57324,32389.8
57330,1019.9
57334,1714.7
57335,763.0
57336,883.3
57337,13959.6
57338,54552.3
57340,291678.3
57341,2520.3
57352,1544.1
57359,10385.2
57360,34980.0
57361,32814.1
57362,1644.8
57363,1469.0
57367,3107.8
57368,40047.333333333336
57369,728.6
57372,0.0
57373,640958.3
57377,44165.0
57378,570217.2
57381,3771.4
57382,5405.1
57383,2073.9
57384,2609.4
57390,1295.6
57392,848.1
57397,2738.4
57402,1292.6
57412,4115.9
57422,449.9
57435,8815.7
57438,1585.1
57439,578403.7
57441,7967.2
57442,113161.3
57448,25518.7
57455,64487.6
57458,4885.5
57461,1162.1
57462,10099.0
57465,1757.5
57471,1610.6
57473,2247.2
57481,2960.1
57485,12343.8
57486,4541.1
57487,4341.3
57488,2549.5
57490,278809.1
57491,397097.3
57494,937.9
57497,25775.0
57498,17775.1
57499,17113.4
57506,1386.0
57507,2956.6
57509,3069.5
57519,1299.3333333333333
57521,14229.8
57522,34551.7
57523,30305.3
57524,1112.7
57525,1634.5
57554,11139.6
57556,1203.7
57559,6266.1
57560,29808.8
57561,23292.9
57562,21244.2
57563,22644.6
57565,8694.5
57567,4052.0
57571,14670.8
57574,1071.4
57575,19422.1
57576,9922.1
57577,11134.1
57579,2003.0
57580,10556.4
57588,3648.9
57589,45903.841
57591,10663.6
57640,995.5
57645,4398.1
57646,2355.0
57647,4795.7
57650,152658.9
57651,41455.8
57652,961.3
57655,1413.3333333333333
57656,1954.8
57657,64056.3
57659,287862.6
57660,6787.1
57661,3641.3
57662,17159.2
57667,8607.4
57668,1.0
57669,28410.3
57670,4120.4
57671,4893.0
57673,2318.268
57674,2876.1
57676,1445.0
57677,1243.4
57680,348544.9
57681,866.7
57682,1545.5
57683,1002.8
57687,1278.9
57695,1060065.2
57697,5651.333333333333
57698,3803.6666666666665
57699,58139.4
57707,406609.6666666667
57708,264130.6666666667
57722,8368.333333333334
57723,5865.0
57724,3865.0
57726,2124.0
57727,3381.4
57728,4915.8
57733,1791.6
57734,1432.2
57736,22447.7
57737,20941.5
57738,21973.9
57740,20947.4
57742,1317.3
57743,5011.333333333333
57745,3523.2
57746,5165.0
57747,2810.5
57750,3813.9
57753,2526.6666666666665
57758,17568.4
57764,22978.0
57765,4412.666666666667
57768,1890.6
57772,1683.3
57773,2020.0
57776,2263.8
57777,6270.333333333333
57778,11094.8
57779,6354.666666666667
57780,11122.8
57781,6322.0
57782,11073.9
57783,10962.6
57784,10979.2
57790,30596.0
57795,8336.666666666666
57796,1664.9
57797,1587.8
57799,1223.7
57805,1625.7
57815,3946.4
57816,11720.1
57817,11637.9
57818,11668.2
57819,11691.3
57820,11637.3
57821,11632.1
57827,1454.3333333333333
57831,2187.6666666666665
57836,2653.0
57838,2548.2
57840,404.3333333333333
57841,450.0
57848,1349.3
57849,4819.333333333333
57850,1541.0
57856,2753.9
57859,608531.5
57860,1204.932
57863,2247.7
57864,1277.5
57868,1735.5
57869,7093.0
57870,1469.0
57879,1352.7
57882,1504.5
57883,43730.333333333336
57891,26077.666666666668
57892,32136.0
57895,6.666666666666667
57904,1599.3
57912,27787.5
57930,3371.5
57931,3958.2
57933,3479.3333333333335
57934,4118.6
57939,2079.5
57941,2662.1
57942,1862.1
57948,16000.0
57951,1242.3690000000001
57959,10128.666666666666
57970,6527.9
57982,1363.2
57985,28373.7
57986,25890.7
57989,4492.3
57990,4122.0
57992,1446.8
57993,670902.6666666666
57994,35909.4
57997,59794.2
58002,33511.666666666664
58003,90385.33333333333
58006,1818.282
58009,10254.8
58010,6069.0
58011,1769.3
58012,973.2
58013,886.6
58014,4524.3
58015,1924.9
58016,1641.0
58017,356605.1
58027,9443.1
58028,2011.1
58029,5741.1
58030,8950.9
58032,3230.7
58034,2596.3333333333335
58036,10627.7
58037,6630.333333333333
58039,54378.333333333336
58040,3339.8
58042,20154.0
58049,1308.7
58056,250.7
58062,32172.0
58064,58.5
58068,8998.3
58070,965.1
58073,2978.0
58074,3367.0
58076,288.6666666666667
58082,4648.7
58086,1479.3333333333333
58090,6405.9
58091,7414.5
58093,954.6666666666666
58094,2458.6666666666665
58095,1556.0
58096,2237.6
58097,4159.6
58118,514.3333333333334
58119,2554.0
58123,2782.2
58131,8002.4
58134,2396.5
58135,19321.2
58144,2133.0
58145,2061.2
58147,22922.333333333332
58148,51175.666666666664
58149,49848.333333333336
58150,3809.2
58164,2293.2
58169,21835.5
58170,27.5
58171,7877.666666666667
58174,2500.7
58178,267.7
58187,2604.2
58202,42104.666666666664
58204,1059.6666666666667
58206,19744.0
58210,1798.7
58213,33029.333333333336
58214,2596.8
58217,1969.2
58226,2095.5
58227,23713.333333333332
58228,17344.8
58231,2856.8
58232,1625.6
58234,32436.666666666668
58236,1303274.1
58239,1582.9
58240,2597.8
58241,1697.7
58243,1519.4
58244,1379.9
58248,2787.0
58249,4998.666666666667
58253,2616.3
58256,104.1
58259,8386.0
58261,1461.0
58262,34928.0
58270,5959.5
58271,1712.3
58272,2847.7
58273,7328.6
58274,8008.9
58275,6314.666666666667
58276,7035.6
58279,7464.0
58280,4535.5
58281,30111.3
58282,5611.0
58283,6602.0
58289,2800.3333333333335
58290,2797.3333333333335
58292,1995.6666666666667
58293,2151.0
58304,5078.666666666667
58305,1656.5
58306,5011.666666666667
58307,5744.0
58308,5888.333333333333
58309,5986.0
58311,8744.1
58312,6737.7
58313,9147.2
58314,6559.0
58315,8683.6
58316,6956.8
58317,7795.1
58318,1410.0
58319,81184.2
58323,7656.9
58329,5166.666666666667
58331,8486.333333333334
58332,7783.8
58333,8335.2
58334,8056.2
58335,7726.1
58336,7655.3
58337,7867.6
58338,8018.2
58339,8418.8
58340,8643.7
58341,8132.0
58342,8154.3
58343,8512.666666666666
58344,8899.6
58345,9117.9
58346,9239.4
58347,8798.6
58348,8895.5
58349,8877.8
58350,8832.7
58354,3261.0
58355,2193.0
58356,7230.8
58357,2669.4
58358,4540.2
58359,2972.6
58360,2337.6
58361,4029.8
58362,5757.9
58364,3847.6
58366,34760.333333333336
58370,1676.0
58371,4053.3333333333335
58373,46049.333333333336
58374,38796.666666666664
58376,2088.0
58381,2532.7
58383,18839.7
58385,3404.0
58386,2003.1
58387,3138.8
58388,877488.0
58389,706556.9
58391,14461.333333333334
58398,25324.4
58401,11677.9
58402,1662.2
58403,3987.0
58408,30241.0
58410,5048.1
58411,2430.3
58412,1337.8
58417,23658.333333333332
58418,9598.2
58419,9494.7
58423,3937.4
