era5_latitude,era5_longitude,climate_annual_temperature_c,climate_m01_temperature_c,climate_m02_temperature_c,climate_m03_temperature_c,climate_m04_temperature_c,climate_m05_temperature_c,climate_m06_temperature_c,climate_m07_temperature_c,climate_m08_temperature_c,climate_m09_temperature_c,climate_m10_temperature_c,climate_m11_temperature_c,climate_m12_temperature_c,climate_annual_relative_humidity_pct,climate_m01_relative_humidity_pct,climate_m02_relative_humidity_pct,climate_m03_relative_humidity_pct,climate_m04_relative_humidity_pct,climate_m05_relative_humidity_pct,climate_m06_relative_humidity_pct,climate_m07_relative_humidity_pct,climate_m08_relative_humidity_pct,climate_m09_relative_humidity_pct,climate_m10_relative_humidity_pct,climate_m11_relative_humidity_pct,climate_m12_relative_humidity_pct,climate_annual_total_precipitation_mm,climate_total_total_precipitation_mm,climate_m01_total_precipitation_mm,climate_m01_total_total_precipitation_mm,climate_m02_total_precipitation_mm,climate_m02_total_total_precipitation_mm,climate_m03_total_precipitation_mm,climate_m03_total_total_precipitation_mm,climate_m04_total_precipitation_mm,climate_m04_total_total_precipitation_mm,climate_m05_total_precipitation_mm,climate_m05_total_total_precipitation_mm,climate_m06_total_precipitation_mm,climate_m06_total_total_precipitation_mm,climate_m07_total_precipitation_mm,climate_m07_total_total_precipitation_mm,climate_m08_total_precipitation_mm,climate_m08_total_total_precipitation_mm,climate_m09_total_precipitation_mm,climate_m09_total_total_precipitation_mm,climate_m10_total_precipitation_mm,climate_m10_total_total_precipitation_mm,climate_m11_total_precipitation_mm,climate_m11_total_total_precipitation_mm,climate_m12_total_precipitation_mm,climate_m12_total_total_precipitation_mm,climate_annual_snowfall_mm,climate_total_snowfall_mm,climate_m01_snowfall_mm,climate_m01_total_snowfall_mm,climate_m02_snowfall_mm,climate_m02_total_snowfall_mm,climate_m03_snowfall_mm,climate_m03_total_snowfall_mm,climate_m04_snowfall_mm,climate_m04_total_snowfall_mm,climate_m05_snowfall_mm,climate_m05_total_snowfall_mm,climate_m06_snowfall_mm,climate_m06_total_snowfall_mm,climate_m07_snowfall_mm,climate_m07_total_snowfall_mm,climate_m08_snowfall_mm,climate_m08_total_snowfall_mm,climate_m09_snowfall_mm,climate_m09_total_snowfall_mm,climate_m10_snowfall_mm,climate_m10_total_snowfall_mm,climate_m11_snowfall_mm,climate_m11_total_snowfall_mm,climate_m12_snowfall_mm,climate_m12_total_snowfall_mm,climate_annual_cloud_cover_pct,climate_m01_cloud_cover_pct,climate_m02_cloud_cover_pct,climate_m03_cloud_cover_pct,climate_m04_cloud_cover_pct,climate_m05_cloud_cover_pct,climate_m06_cloud_cover_pct,climate_m07_cloud_cover_pct,climate_m08_cloud_cover_pct,climate_m09_cloud_cover_pct,climate_m10_cloud_cover_pct,climate_m11_cloud_cover_pct,climate_m12_cloud_cover_pct,era5_lat_idx,era5_lon_idx
49.5,-125.0,8.9966,2.845,3.149,4.5103,7.0281,10.9281,13.7097,16.8478,17.0573,14.099,9.3853,5.3875,3.012,80.4828,91.0208,85.1228,81.1524,75.7999,71.6705,72.7949,71.2391,73.0946,78.2048,85.0753,89.621,90.9976,5.911,70.932,10.0586,301.7578,6.9683,209.0483,7.3188,219.5644,5.0933,152.7977,2.9911,89.7331,2.5703,77.1103,1.5746,47.2393,2.1727,65.1817,3.5321,105.9628,7.4212,222.6362,11.0055,330.1649,10.2255,306.7636,0.9069,10.8827,2.3001,69.0026,2.1778,65.3329,1.8478,55.4342,0.3201,9.6045,0.0034,0.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418,1.2541,1.2563,37.6887,2.9354,88.0628,69.1136,81.8952,75.3516,76.3257,71.3986,64.9807,64.696,49.9582,51.2175,57.59,72.0706,80.261,83.6179,0,0
34.75,-87.75,16.5059,5.3635,7.5289,11.881,16.6115,21.2095,25.1824,26.6278,26.2289,23.0116,16.8667,10.7229,6.8356,68.1825,68.7409,66.0833,63.0908,63.8357,68.2177,69.7235,72.0953,70.2658,68.1013,67.9969,68.1571,71.8817,3.7213,44.6558,4.0337,121.0108,4.4367,133.1024,4.3131,129.3936,4.2226,126.6766,3.9733,119.1998,3.5491,106.472,3.5072,105.217,2.8533,85.598,3.0959,92.8764,2.9986,89.9582,3.2834,98.5012,4.389,131.669,0.0277,0.3325,0.0808,2.4238,0.1336,4.0069,0.0544,1.6332,0.0017,0.0515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0095,0.0086,0.258,0.053,1.5907,54.6004,60.3341,62.9542,59.6543,55.2906,55.3788,53.6356,54.9811,51.3282,45.4757,43.9959,51.4116,60.7648,59,149
31.25,-85.75,19.0905,9.7591,11.8711,15.3252,18.8822,23.239,26.1893,27.1283,26.7767,24.9653,19.826,14.205,10.9186,69.5059,69.6471,67.9768,64.7357,64.7883,65.2707,71.1277,74.3155,75.2982,70.9633,68.5373,68.9471,72.4632,3.3723,40.4682,3.4795,104.3854,3.8512,115.5367,3.5827,107.481,2.825,84.7502,2.3556,70.6692,3.6605,109.8137,4.2553,127.6588,4.1541,124.6223,3.2154,96.4622,2.5454,76.3617,2.9003,87.0085,3.6432,109.2949,0.0036,0.0432,0.0077,0.2322,0.021,0.6294,0.005,0.1497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.2832,53.0343,56.5688,57.1494,53.7981,49.9522,49.3548,56.0533,58.9798,58.5672,50.3393,43.3521,45.665,56.6317,73,157
33.75,-86.0,16.9672,6.6489,8.6931,12.6384,16.878,21.3277,24.9654,26.4428,25.9848,23.1857,17.4055,11.5209,7.9147,68.7818,68.3356,66.0542,62.9501,64.1527,67.904,70.9352,72.8789,72.5435,70.0544,69.0427,68.4552,72.0748,3.5418,42.5015,4.0256,120.7676,4.4278,132.8335,4.3108,129.324,3.7494,112.483,3.0592,91.7759,3.348,100.441,3.5365,106.0963,2.9278,87.8353,2.8404,85.2108,2.5934,77.8008,3.5315,105.9437,4.1511,124.5337,0.0214,0.2569,0.0656,1.9679,0.0743,2.2283,0.0827,2.4819,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0024,0.0725,0.0318,0.9537,54.9499,59.6733,61.6631,58.3405,53.5262,53.7582,55.9694,57.2552,54.7796,49.2999,44.8931,49.8839,60.3567,63,156
34.5,-86.5,16.3785,5.677,7.694,11.7914,16.2856,20.8359,24.6818,26.1302,25.7621,22.7989,16.8921,10.8882,7.1048,69.1582,67.9485,65.8,63.0575,64.811,69.4323,71.8925,74.2648,73.0009,70.3811,69.1931,68.4072,71.709,3.7928,45.5136,4.2356,127.0685,4.4094,132.2813,4.6985,140.9559,4.2761,128.2845,3.5348,106.0429,3.7779,113.3366,3.8739,116.2167,2.7281,81.8443,3.2166,96.4985,2.8257,84.7712,3.5317,105.9513,4.4052,132.1564,0.0277,0.3322,0.0785,2.3556,0.1224,3.6707,0.0833,2.4977,0.0003,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0253,0.0058,0.1736,0.0412,1.2345,55.4613,61.1458,63.5146,59.8412,55.4727,55.5689,55.0253,56.1432,52.998,47.9577,44.8751,51.2767,61.7165,60,154
32.75,-85.5,17.7809,7.9038,10.0838,13.814,17.7032,22.0585,25.3733,26.599,26.1664,23.7115,18.2665,12.5904,9.1009,68.4058,67.152,65.0951,62.4299,63.5688,66.2078,70.4679,73.6575,73.6877,70.6475,69.0208,68.0104,70.9243,3.5049,42.0582,3.8047,114.1405,4.295,128.8509,3.8946,116.8375,3.2939,98.8169,2.6671,80.0133,3.5286,105.8578,4.318,129.5395,3.3826,101.4786,2.925,87.7514,2.4707,74.1215,3.6174,108.5234,3.8605,115.8161,0.0106,0.1267,0.0515,1.5435,0.0225,0.6747,0.0305,0.9136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0223,0.6695,54.3129,57.5755,59.7238,56.3418,51.4882,51.7963,57.0805,59.02,56.6877,50.3655,44.8336,48.1204,58.7219,67,158
35.0,-86.75,15.9026,4.7812,6.8947,11.205,15.9819,20.6333,24.605,26.0054,25.5275,22.4626,16.301,10.1645,6.2686,68.0276,68.6336,65.8579,63.0019,63.5005,67.7346,69.2048,72.1842,71.0957,67.9118,67.7878,67.6794,71.7386,3.8215,45.8584,4.2501,127.5043,4.5664,136.9905,4.729,141.8686,4.3645,130.9357,3.58,107.399,3.6231,108.6922,3.8071,114.212,2.788,83.6391,3.0251,90.7516,2.9353,88.0575,3.5442,106.3251,4.6459,139.3776,0.0361,0.4331,0.1163,3.4904,0.172,5.1589,0.0788,2.3642,0.0005,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0253,0.0063,0.1888,0.0583,1.75,55.8031,61.7404,64.1696,60.5664,56.1317,56.4198,55.2445,56.3308,52.9122,47.1876,44.871,52.042,62.021,58,153
34.75,-88.0,16.6339,5.4676,7.6674,12.0364,16.7297,21.2672,25.2925,26.7433,26.3691,23.1184,17.0456,10.9047,6.9644,67.4549,67.5634,64.787,61.8645,63.3725,68.2416,69.2068,71.4463,69.4615,67.8927,67.4486,67.3157,70.8584,3.7345,44.8136,4.0358,121.0737,4.5593,136.7798,4.3202,129.6053,4.2052,126.1559,4.0846,122.5376,3.4209,102.6268,3.3906,101.7189,2.6322,78.9661,3.2073,96.2181,3.1052,93.1549,3.4022,102.067,4.4501,133.5039,0.0277,0.3324,0.0811,2.4319,0.1342,4.0255,0.0515,1.5459,0.0029,0.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0076,0.012,0.3591,0.0504,1.5135,54.4205,60.1896,62.8258,59.6915,55.2095,55.386,53.28,54.8777,50.7704,45.1673,43.6681,51.3984,60.5812,59,148
32.25,-85.0,18.4356,8.6288,10.78,14.4487,18.3616,22.7916,26.0097,27.2512,26.7958,24.4318,18.8194,13.1433,9.7654,68.1264,68.616,66.7612,63.424,62.3769,64.0353,69.0748,71.3289,72.1404,69.1804,69.5156,69.1916,71.8719,3.1425,37.7104,3.482,104.4598,3.927,117.8102,3.3751,101.2526,2.8504,85.5122,2.1438,64.3139,3.1281,93.8416,3.5641,106.9221,3.2585,97.7535,3.0204,90.6105,2.4561,73.6837,2.9521,88.5639,3.5529,106.5865,0.0061,0.0735,0.0289,0.8678,0.0156,0.4683,0.0097,0.2913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.577,53.5391,56.9499,58.6371,54.9125,50.0174,50.3135,56.4067,58.0802,57.1559,50.5535,44.5254,47.1096,57.808,69,160
32.25,-86.25,18.6209,8.6429,10.8696,14.5931,18.5079,22.971,26.3194,27.4735,27.1611,24.8433,19.0651,13.2157,9.7884,67.8966,69.3317,67.1721,63.9812,63.5274,64.47,68.1491,71.0069,70.2256,67.3441,68.043,69.0425,72.4661,3.2444,38.933,3.5412,106.2365,3.9801,119.4019,3.6685,110.0559,3.2632,97.8956,2.6302,78.9051,3.321,99.6304,3.4158,102.4742,3.0903,92.7105,2.7105,81.3141,2.4206,72.6166,3.2813,98.4392,3.6104,108.3107,0.0067,0.0806,0.0326,0.977,0.0159,0.4778,0.0218,0.6533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.309,53.266,57.2594,59.0953,55.7791,50.9171,50.7035,55.2054,57.2053,55.0993,48.7926,43.6644,47.3039,58.1663,69,155
