p_area,p_tilt,p_azimuth,climate_annual_temperature_c,climate_annual_relative_humidity_pct,climate_annual_total_precipitation_mm,climate_total_total_precipitation_mm,climate_annual_snowfall_mm,climate_total_snowfall_mm,climate_annual_cloud_cover_pct,era5_distance_km,surface_solar_radiation_downwards,surface_solar_radiation_downward_clear_sky,total_sky_direct_solar_radiation_at_surface,toa_incident_solar_radiation,avg_annual_generation
172005,40.0,180.0,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,2036.3015,11844797.0,17609322.0,7535676.0,24715902.0,3908.0
8740,40.0,156.0,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,2849.5795,11844797.0,17609322.0,7535676.0,24715902.0,8243.3
1735134,17.0,270.0,16.5059,68.1825,3.7213,44.6558,0.0277,0.3325,54.6004,12.3289,15963687.0,20861614.0,10809085.0,30114674.0,152158.8
187820,20.0,188.0,19.0905,69.5059,3.3723,40.4682,0.0036,0.0432,53.0343,9.2952,16843712.0,21558518.0,11548169.0,31184274.0,13442.0
39717,20.0,180.0,16.9672,68.7818,3.5418,42.5015,0.0214,0.2569,54.9499,14.8124,15936573.0,21042664.0,10760481.0,30429770.0,11723.333333333334
194595,,180.0,16.3785,69.1582,3.7928,45.5136,0.0277,0.3322,55.4613,16.8102,15792040.0,20924064.0,10627919.0,30194148.0,9741.3
1881927,,180.0,17.7809,68.4058,3.5049,42.0582,0.0106,0.1267,54.3129,17.0423,16286337.0,21210106.0,11094946.0,30737312.0,165027.5
390405,0.0,0.0,15.9026,68.0276,3.8215,45.8584,0.0361,0.4331,55.8031,12.0507,15836964.0,20830786.0,10629134.0,30034654.0,29381.333333333332
5766348,,180.0,16.6339,67.4549,3.7345,44.8136,0.0277,0.3324,54.4205,7.485,15910851.0,20863082.0,10768499.0,30114648.0,438943.626
472484,20.0,195.0,18.4356,68.1264,3.1425,37.7104,0.0061,0.0735,53.5391,6.0594,16468165.0,21316182.0,11220443.0,30888240.0,52988.2
1445346,52.0,180.0,18.6209,67.8966,3.2444,38.933,0.0067,0.0806,53.266,9.3332,16529592.0,21307166.0,11265967.0,30888266.0,210744.33333333337
2009738,,0.0,19.2292,71.2561,3.6717,44.0599,0.0031,0.0377,53.1326,8.8242,16796602.0,21539418.0,11506876.0,31257074.0,160770.0
322070,45.0,180.0,18.0107,66.3706,3.7246,44.6949,0.0245,0.2936,50.8201,13.2605,16104900.0,20940346.0,11065383.0,30429806.0,23268.8
1312599,14.0,180.0,17.4195,66.2988,3.516,42.1919,0.0263,0.3153,50.7428,8.5374,16334743.0,20861164.0,11229064.0,30194148.0,158040.9
93359,,180.0,14.4244,68.3762,3.3217,39.8602,0.0913,1.0955,51.1546,10.696,16120920.0,20776578.0,11081218.0,29710234.0,3772.8
17548,26.0,270.0,14.6403,68.3368,3.0361,36.4334,0.0952,1.1422,51.0608,12.0699,16060680.0,20763388.0,11046876.0,29628058.0,1255.0
15316,26.0,270.0,16.8875,67.0975,3.4524,41.4291,0.0378,0.4537,50.7771,14.3296,16065488.0,20830066.0,11031336.0,30114768.0,1192.1633333333332
126577,,180.0,15.4405,68.8297,3.5893,43.0711,0.0491,0.5894,50.5676,3.9121,16040141.0,20762636.0,11068371.0,29873338.0,9659.333333333334
2565309,52.0,180.0,18.2407,67.7392,3.6216,43.4595,0.0163,0.1953,50.7135,10.3625,16500428.0,21028112.0,11394676.0,30507418.0,214286.9
92452,,180.0,14.7315,67.8325,3.3049,39.6593,0.087,1.0436,50.755,7.9868,16147035.0,20750654.0,11102143.0,29710248.0,3354.0
22610,,180.0,17.1343,65.3127,3.5485,42.5824,0.0307,0.3685,51.432,4.863,16293444.0,20784860.0,11194929.0,30034660.0,2013.3333333333333
21619,,180.0,17.1343,65.3127,3.5485,42.5824,0.0307,0.3685,51.432,6.7608,16293444.0,20784860.0,11194929.0,30034660.0,2075.3333333333335
119945,60.0,180.0,16.513,67.1937,3.2141,38.5692,0.0441,0.5293,49.7936,9.3958,16124536.0,20780284.0,11103163.0,29954370.0,9925.666666666666
11775,15.0,180.0,16.7596,66.7235,3.4881,41.8567,0.0379,0.4546,51.0519,10.3831,16024781.0,20872378.0,10993718.0,30194146.0,1636.6666666666667
1832671,,90.0,16.5051,66.3613,3.5421,42.5048,0.0406,0.4869,51.0876,5.8255,16166720.0,20753290.0,11091393.0,29954326.0,119873.1
32416,25.0,180.0,15.4405,68.8297,3.5893,43.0711,0.0491,0.5894,50.5676,6.027,16040141.0,20762636.0,11068371.0,29873338.0,3843.3333333333335
28354,,180.0,16.0984,69.1576,3.5443,42.5315,0.0468,0.562,50.7114,5.6844,16069355.0,20778286.0,11075468.0,29954352.0,2756.0
1848224,52.0,180.0,16.5051,66.3613,3.5421,42.5048,0.0406,0.4869,51.0876,12.3295,16166720.0,20753290.0,11091393.0,29954326.0,151137.33333333334
42282,0.0,180.0,18.2139,66.3112,3.6926,44.3113,0.0213,0.2553,50.8758,12.6692,16152474.0,20990806.0,11106233.0,30507434.0,2856.5
4405265,52.0,180.0,16.7763,66.1718,3.4592,41.5105,0.0342,0.4106,52.009,10.2919,16204643.0,20747196.0,11105048.0,29954340.0,281458.3333333333
4747142,60.0,90.0,16.2362,65.7456,3.2511,39.0138,0.0524,0.6284,51.3299,10.4519,16168600.0,20671028.0,11083693.0,29792108.0,258242.37
26836,,0.0,18.3094,66.7044,3.7503,45.004,0.0165,0.1976,51.0627,7.2398,16274407.0,21052598.0,11215084.0,30584456.0,2239.3333333333335
18207,25.0,180.0,14.3165,67.693,3.0161,36.1927,0.1014,1.2165,51.5601,15.9394,16062703.0,20783990.0,10977290.0,29628056.0,1744.0
22602,,180.0,17.7612,66.7378,3.6713,44.0558,0.0242,0.2903,50.8593,11.0742,16276991.0,20929878.0,11218813.0,30351636.0,2151.0
22579,,180.0,15.416,66.399,3.2557,39.0689,0.0732,0.8789,52.4021,13.6084,15974682.0,20526968.0,10907337.0,29545376.0,2096.0
27575,,180.0,16.0838,65.7707,3.3396,40.0757,0.0569,0.683,51.8863,10.3303,16140064.0,20619558.0,11032770.0,29710208.0,1816.6
23317,,180.0,16.2362,65.7456,3.2511,39.0138,0.0524,0.6284,51.3299,13.511,16168600.0,20671028.0,11083693.0,29792108.0,2250.8900000000003
27761,0.0,0.0,16.0838,65.7707,3.3396,40.0757,0.0569,0.683,51.8863,3.0761,16140064.0,20619558.0,11032770.0,29710208.0,3201.5
266387,,181.0,16.3192,65.7451,3.3776,40.5314,0.0492,0.5909,51.7155,10.1375,16200760.0,20662608.0,11084936.0,29792044.0,11030.58
49743,15.0,180.0,17.4278,67.776,3.7397,44.8762,0.0283,0.34,50.6295,12.5384,16065633.0,20916554.0,11030171.0,30351654.0,2086.0
67401,0.0,180.0,17.4278,67.776,3.7397,44.8762,0.0283,0.34,50.6295,12.9372,16065633.0,20916554.0,11030171.0,30351654.0,2944.5
34119,0.0,180.0,14.3165,67.693,3.0161,36.1927,0.1014,1.2165,51.5601,13.654,16062703.0,20783990.0,10977290.0,29628056.0,1103.5
25794,0.0,180.0,18.3094,66.7044,3.7503,45.004,0.0165,0.1976,51.0627,14.2769,16274407.0,21052598.0,11215084.0,30584456.0,1078.0
25567,15.0,180.0,14.4244,68.3762,3.3217,39.8602,0.0913,1.0955,51.1546,1.5751,16120920.0,20776578.0,11081218.0,29710234.0,1076.5
66078,15.0,180.0,16.0984,69.1576,3.5443,42.5315,0.0468,0.562,50.7114,16.1532,16069355.0,20778286.0,11075468.0,29954352.0,4326.0
47618,15.0,180.0,16.0984,69.1576,3.5443,42.5315,0.0468,0.562,50.7114,15.9725,16069355.0,20778286.0,11075468.0,29954352.0,1201.5
27815,0.0,180.0,16.6095,66.6787,3.4008,40.8094,0.0393,0.471,52.2854,16.1804,16095085.0,20712068.0,11065963.0,29873334.0,1098.5
15484,20.0,180.0,16.5051,66.3613,3.5421,42.5048,0.0406,0.4869,51.0876,3.5697,16166720.0,20753290.0,11091393.0,29954326.0,417.0
117830,0.0,180.0,16.5051,66.3613,3.5421,42.5048,0.0406,0.4869,51.0876,5.3637,16166720.0,20753290.0,11091393.0,29954326.0,1765.0
121373,15.0,180.0,17.0594,66.5973,3.4217,41.0605,0.0351,0.4207,50.6818,5.6261,16137303.0,20824990.0,11083424.0,30114686.0,840.5
71552,15.0,180.0,16.5316,65.6584,3.3257,39.909,0.0453,0.5439,51.1972,12.2578,16227197.0,20711666.0,11148965.0,29873338.0,2611.0
4831933,0.0,181.0,16.1789,66.5576,3.4055,40.866,0.0534,0.6404,52.5454,11.9151,16019184.0,20616546.0,10963522.0,29710224.0,349890.0
130832,0.0,180.0,17.7612,66.7378,3.6713,44.0558,0.0242,0.2903,50.8593,12.1969,16276991.0,20929878.0,11218813.0,30351636.0,8637.0
47144,0.0,180.0,18.4117,66.2678,3.6905,44.2863,0.0189,0.2264,50.9565,12.0407,16198146.0,21041434.0,11134670.0,30584402.0,1582.0
3536609,52.0,90.0,24.0379,27.8929,0.4698,5.6376,0.0,0.0,26.474,11.0957,21315314.0,22552744.0,17102780.0,30584426.0,454152.5
408286,0.0,0.0,22.4886,31.2222,0.7682,9.2183,0.0005,0.0059,29.3276,10.263,21098288.0,22639294.0,16767215.0,30584432.0,51311.1
552527,0.0,0.0,14.2295,38.5448,0.9982,11.9787,0.1197,1.437,32.7191,6.8258,20724194.0,22795194.0,16327079.0,30114730.0,29808.8
277805,0.0,0.0,14.2295,38.5448,0.9982,11.9787,0.1197,1.437,32.7191,10.9661,20724194.0,22795194.0,16327079.0,30114730.0,22922.333333333332
217560,,180.0,20.1414,28.094,0.6266,7.5188,0.0126,0.1506,27.1774,8.3673,21091258.0,22402810.0,17035900.0,30034608.0,20154.0
364331,,90.0,23.2462,29.2202,0.5853,7.024,0.0001,0.0009,27.4017,5.871,21223094.0,22528368.0,16991854.0,30507368.0,34928.0
274954,0.0,0.0,20.9794,32.8952,0.7046,8.4553,0.0099,0.1185,29.5398,16.2057,21313878.0,23072326.0,16974388.0,30888224.0,25598.666666666668
7321254,15.0,195.0,24.4286,26.8549,0.3216,3.859,0.0,0.0,24.9425,2.7282,21478470.0,22633798.0,17238904.0,30661168.0,640958.3
92813,25.0,180.0,17.9636,38.2081,1.0248,12.298,0.02,0.2403,31.3334,0.7654,21249982.0,23362218.0,16906208.0,31110942.0,4047.0
438244,,180.0,20.5399,33.2946,0.708,8.496,0.0047,0.0561,29.7142,6.1153,21374670.0,23160550.0,17013206.0,30962936.0,43845.333333333336
760619,,90.0,20.5399,33.2946,0.708,8.496,0.0047,0.0561,29.7142,5.1987,21374670.0,23160550.0,17013206.0,30962936.0,69920.33333333333
1024980,0.0,0.0,24.3034,27.4103,0.3984,4.7805,0.0,0.0,26.174,6.0069,21352562.0,22607222.0,17098126.0,30661158.0,49419.6
278308,0.0,0.0,23.8659,28.288,0.4828,5.794,0.0,0.0,26.8245,14.3153,21290524.0,22532754.0,17039152.0,30584462.0,17742.3
269322,,180.0,23.1566,30.0293,0.6173,7.4076,0.0001,0.0007,27.8841,11.2476,21167090.0,22511592.0,16914658.0,30507404.0,32389.8
502333,25.0,190.0,24.3034,27.4103,0.3984,4.7805,0.0,0.0,26.174,8.5556,21352562.0,22607222.0,17098126.0,30661158.0,21244.2
382216,,180.0,19.0723,30.5595,0.8142,9.7701,0.0475,0.5702,29.2134,12.0672,20947290.0,22699458.0,16780134.0,30194110.0,30596.0
439241,0.0,0.0,23.2285,27.5261,0.475,5.7002,0.0002,0.0023,26.4643,14.5355,21368790.0,22564848.0,17111668.0,30507394.0,33029.333333333336
638610,0.0,180.0,22.1199,31.2241,0.5608,6.7296,0.0005,0.0062,28.9731,13.4807,21354612.0,23027670.0,17021950.0,30888240.0,50501.333333333336
811849,0.0,180.0,22.1199,31.2241,0.5608,6.7296,0.0005,0.0062,28.9731,13.9029,21354612.0,23027670.0,17021950.0,30888240.0,64056.3
128673,0.0,0.0,19.0367,34.7895,0.8736,10.4832,0.0149,0.1785,30.6776,12.8261,21300274.0,23220998.0,16955910.0,30962962.0,13141.666666666666
2740768,20.0,180.0,24.0379,27.8929,0.4698,5.6376,0.0,0.0,26.474,12.6719,21315314.0,22552744.0,17102780.0,30584426.0,406609.6666666667
1291273,0.0,0.0,24.7145,27.5175,0.2648,3.177,0.0,0.0,23.116,13.865,21595046.0,22619718.0,17438498.0,30737286.0,59794.2
3315504,,90.0,23.8659,28.288,0.4828,5.794,0.0,0.0,26.8245,9.8354,21290524.0,22532754.0,17039152.0,30584462.0,348544.9
377463,25.0,180.0,10.8297,39.6588,1.0428,12.514,0.2122,2.5462,35.3425,5.3268,20725698.0,23371920.0,16024116.0,30273096.0,2228440.959
1122685,,90.0,22.7626,30.5851,0.6514,7.8164,0.0001,0.0006,29.0352,6.423,21243302.0,22696096.0,16879836.0,30661162.0,114958.33333333331
74954,22.0,180.0,21.8613,25.8458,0.4377,5.2529,0.0014,0.0171,26.2896,5.4338,21173608.0,22415062.0,17088520.0,30034650.0,8986.666666666666
873501,,90.0,22.0045,31.2942,0.7552,9.0626,0.002,0.0245,29.5898,10.3862,21160696.0,22755136.0,16847302.0,30661192.0,124958.0
1142265,0.0,0.0,21.8443,31.7678,0.6956,8.3469,0.0028,0.0338,29.3901,6.6683,21285976.0,22927290.0,16985926.0,30813054.0,53151.6
1715965,0.0,0.0,17.5167,33.0584,0.9215,11.0576,0.0517,0.6198,30.0895,13.495,21099962.0,22506144.0,16927734.0,29954288.0,137620.3
270570,0.0,0.0,20.9794,32.8952,0.7046,8.4553,0.0099,0.1185,29.5398,13.1148,21313878.0,23072326.0,16974388.0,30888224.0,29731.0
1159163,,90.0,17.4415,35.6524,0.7997,9.5966,0.033,0.3965,31.8594,8.7258,21158726.0,23256142.0,16750500.0,30888248.0,101720.4
418579,0.0,0.0,17.302,36.8443,0.7263,8.7152,0.0183,0.2202,32.0582,10.4897,21253886.0,23375690.0,16734383.0,30962974.0,52679.333333333336
518459,,90.0,17.302,36.8443,0.7263,8.7152,0.0183,0.2202,32.0582,12.9511,21253886.0,23375690.0,16734383.0,30962974.0,44281.5
545831,,180.0,22.7626,30.5851,0.6514,7.8164,0.0001,0.0006,29.0352,14.5478,21243302.0,22696096.0,16879836.0,30661162.0,32122.2
100250,,180.0,22.5814,30.3175,0.5376,6.4512,0.0003,0.004,26.4933,14.8834,21508782.0,22841806.0,17281592.0,30888230.0,8336.666666666666
26485,25.0,180.0,17.5167,33.0584,0.9215,11.0576,0.0517,0.6198,30.0895,1.0238,21099962.0,22506144.0,16927734.0,29954288.0,1203.7
33547,25.0,180.0,19.0367,34.7895,0.8736,10.4832,0.0149,0.1785,30.6776,12.4825,21300274.0,23220998.0,16955910.0,30962962.0,848.1
1102580,,90.0,17.4415,35.6524,0.7997,9.5966,0.033,0.3965,31.8594,8.9857,21158726.0,23256142.0,16750500.0,30888248.0,57617.0
482002,,90.0,22.4886,31.2222,0.7682,9.2183,0.0005,0.0059,29.3276,10.7365,21098288.0,22639294.0,16767215.0,30584432.0,43730.333333333336
488596,0.0,0.0,24.3152,27.5565,0.367,4.4036,0.0,0.0,25.5121,10.5853,21444578.0,22633498.0,17200236.0,30661178.0,18839.7
75098,0.0,0.0,22.4485,31.081,0.713,8.5561,0.0004,0.0043,28.5636,8.1761,20982838.0,22555048.0,16781902.0,30429780.0,14093.0
22134,0.0,180.0,19.0367,34.7895,0.8736,10.4832,0.0149,0.1785,30.6776,12.8128,21300274.0,23220998.0,16955910.0,30962962.0,2041.6666666666667
56971,,180.0,19.0367,34.7895,0.8736,10.4832,0.0149,0.1785,30.6776,13.8073,21300274.0,23220998.0,16955910.0,30962962.0,3371.5
2211866,52.0,90.0,24.0379,27.8929,0.4698,5.6376,0.0,0.0,26.474,11.5056,21315314.0,22552744.0,17102780.0,30584426.0,276354.0
483194,0.0,0.0,24.3034,27.4103,0.3984,4.7805,0.0,0.0,26.174,9.2214,21352562.0,22607222.0,17098126.0,30661158.0,23292.9
21613,0.0,0.0,20.9794,32.8952,0.7046,8.4553,0.0099,0.1185,29.5398,5.4121,21313878.0,23072326.0,16974388.0,30888224.0,1112.7
501322,0.0,0.0,24.3152,27.5565,0.367,4.4036,0.0,0.0,25.5121,9.6674,21444578.0,22633498.0,17200236.0,30661178.0,22644.6
