t_cap,t_hh,t_rd,t_rsa,t_ttlh,climate_annual_temperature_c,climate_annual_relative_humidity_pct,climate_annual_total_precipitation_mm,climate_total_total_precipitation_mm,climate_annual_snowfall_mm,climate_total_snowfall_mm,climate_annual_cloud_cover_pct,climate_annual_windspeed_m_s,climate_install_month_windspeed_m_s,area,num_turbines,wind_power_cubed,turbine_density,avg_annual_generation
150.0,33.3235294117647,19.58823529411765,425.35823529411766,43.129411764705885,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,0.5002,0.2989,9.489054599989166e-05,17,0.125150060008,179153.77997740058,19410.6
1500.0,80.0,70.5,3903.63,115.2,12.74136,47.1414,1.1510399999999998,13.81278,0.19654,2.35802,39.85882,1.40578,1.41248,0.08179648580399448,5,2.778126908380552,61.12732045703396,4925.7
696.6666666666666,47.77777777777778,45.888888888888886,1657.2733333333335,70.72222222222223,5.2401,54.7406,1.4282,17.1385,0.7133,8.5599,45.5782,3.1618,3.679288888888889,8.768947400005974e-05,9,31.608448961032,102634.89549491275,12301.9
1500.0,65.0,77.0,4656.63,103.6,10.5233,69.0297,2.7328,32.7931,0.2577,3.0927,57.7041,1.0032,0.9523,1.7548999999078411e-07,2,1.0096307527680002,11396660.778990429,2955.7
750.0,55.0,48.0,1809.56,78.9,10.4763,68.5227,2.7217,32.6608,0.2447,2.9366,54.0675,1.1821,0.7099,0.0,1,1.6518197406609998,,48.3
1500.0,80.0,77.0,4656.63,118.6,8.0827,70.5954,2.6469,31.7623,0.3318,3.9812,58.3882,1.1383,1.2657,0.0,1,1.4749259188870003,,1962.6
660.0,65.0,47.0,1734.94,88.4,10.1262,68.5619,2.657,31.8836,0.2644,3.1731,54.6968,1.2456,1.2739,0.0,1,1.9325725148160002,,0.0
1200.0,75.0,64.0,3216.99,107.0,7.7985,69.5494,2.4545,29.4535,0.3977,4.7725,56.6774,1.4391,1.9939,0.0,1,2.980388778471,,1202.428
2000.0,80.0,80.0,5026.55,120.1,6.7582,70.3219,2.2799,27.3593,0.3707,4.4484,58.384,1.0515,1.12,2.8136080000087865e-06,2,1.1625933408750004,710831.0752577311,1584.8
916.6666666666666,70.0,52.666666666666664,2179.22,96.3,7.9049000000000005,69.6617,2.3799,28.559299999999997,0.3464,4.1562,55.6415,1.2238,1.4464,1.8896196000015283e-05,6,1.832868665272,317524.22551052854,5634.3
100.0,37.0,21.0,346.35999999999996,47.5,8.9966,80.4828,5.910999999999999,70.932,0.9068999999999999,10.8827,69.1136,0.5002,0.5816,2.8849600002693376e-07,6,0.125150060008,20797515.388219748,3322.0
160.88235294117646,33.588235294117645,19.829411764705885,431.8176470588235,43.51764705882353,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,0.5002,0.3510470588235294,9.879850199997002e-05,17,0.125150060008,172067.38620394425,6164.1
100.0,34.5,21.0,346.36,45.0,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,0.5002,0.5257000000000001,4.779199999995118e-06,4,0.125150060008,836960.1606972059,2728.6666666666665
100.0,32.0,21.0,346.35999999999996,42.5,8.9966,80.4828,5.910999999999999,70.932,0.9068999999999999,10.8827,69.1136,0.5002,0.2989,4.1698799999423735e-07,3,0.125150060008,7194451.638995509,2135.1
900.0,50.0,52.0,2123.72,75.9,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,0.5002,0.358,0.0,1,0.125150060008,,3539.4
65.0,24.0,15.0,176.71,31.399999999999995,8.9966,80.4828,5.910999999999999,70.932,0.9068999999999999,10.8827,69.1136,0.5002,0.635,2.127653999958461e-06,3,0.125150060008,1410003.6942372068,1685.7
900.0,50.0,52.0,2123.72,75.9,8.9966,80.4828,5.911,70.932,0.9069,10.8827,69.1136,0.5002,0.3326,0.0,1,0.125150060008,,43868.666666666664
550.0,40.0,40.0,1256.64,60.0,7.077200000000001,70.2167,3.8618000000000006,46.3419,0.7512,9.0147,61.377399999999994,1.5230999999999997,1.2434,5.180699999999525e-05,11,3.5333385713909977,212326.5195823153,10150.5
1500.0,65.0,77.0,4656.63,103.5,9.2003,65.4986,3.1947,38.3361,0.5435,6.522,58.5377,1.4084,1.8954,3.58199999990081e-07,2,2.7936889447040008,5583472.920310951,2963.6666666666665
